"","council","lat","long","artist","title","location","year","url","img","yearrange","historic"
"1","Dublin City Council",53.336328,-6.273231,"Holly Pereira","Scarlet for your Ma","New Street South, Dublin 8",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/holly-pereira","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/6023cd307512117511141348_%27Scarlet%20for%20your%20Ma%27%20by%20Holly%20Pereira%202018%204.jpg","2018",0
"2","Dublin City Council",53.32541,-6.265248,"Learning Man","Heavy Sea of Love","141 Rathmines Road Lower, Dublin",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/learning-man","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2774488e5e9e4dbe2998e8_Heavy%20Seas%20of%20Love%27%20by%20Learning%20%20(13).jpg","2015 - 2018",1
"3","Dublin City Council",53.330651,-6.264423,"Fuchsia MacAree","Monday","28-29 Richmond St, Dublin",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/fuchsia-macaree","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e3450a7d4897d731b7c6d07_Monday%20by%20Fuchsia%20MacAree%202015%201.jpg","2015 - 2019",1
"4","Dublin City Council",53.338236,-6.247758,"Donna Mc Gee","Poppy Corner","29 Fitzwilliam Street Lower, Dublin",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/donna-mc-gee","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e27701f92c96376f2df5904_Poppy%20Corner%20by%20Donna%20Mc%20Gee%20%20(2).jpg","2015 - 2017",1
"5","Dun Laoghaire Rathdown County Council",53.285919,-6.115568,"Hannah Moran","James Joyce","29 Sandycove Avenue West, Sandycove, Dublin",2020,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/hannah-moran","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f92ea47e04d3089c066b091_James%20Joyce%20by%20Hannah%20Moran%20%E2%80%93%20DLR%20-%202020%20(1).jpg","2020",0
"6","Dublin City Council",53.339676,-6.265914,"Gabriela Gajdova","Night City","56 Auginer Street, Dublin 2",2017,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/gabriela-gajdova","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2a1af03fa1327eb6e0ff3c_Summer%20Evening%20City%20by%20Gabriela%20Gajdova%202016%20-%203.jpg","2017",0
"7","Dublin City Council",53.341257,-6.225862,"Hugh Madden","Fishermen of Ringsend","9 Fitzwilliam Street, Ringsend, Dublin 4",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/hugh-madden-9","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e270ee35f16d07066471f61_Fishermen%20by%20Hugh%20Madden%204.jpg","2019",0
"8","Dublin City Council",53.335287,-6.318111,"Juliette O'Brien","The Birds","Adelaide Road, Harcourt Terrace, Dublin 2",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/juliette-obrien-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2237641af7d63b7b63bef4_The%20Birds%20by%20Juliette%20O_Brien%204.jpg","2018",0
"9","Dublin City Council",53.342307,-6.354669,"Anne Marie McGrane","Beauty is in the eye of the beholder","AIB Ballyfermot Road, Ballyfermot, Dublin 12.",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/anne-marie-mcgrane-4","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e21b23f2c4935c4a107c02d_Beauty%20is%20in%20the%20eye%20of%20the%20beholder%E2%80%99%20by%20Anne%20Marie%20McGrane%202.jpg","2019",0
"10","Fingal County Council",53.39515,-6.375118,"Wiktoria Zagorowicz","Steel Teal","Aisling Heights/Snugborough Road, Blanchardstown, Dublin.",2020,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/wiktoria-zagorowicz","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f95d830f00d8be645b3da1c_Steel%20Teal%20by%20Wiktoria%20Zagorowicz%20-%20Fingal%20-%202020%20(1).jpg","2020",0
"11","Dublin City Council",53.363175,-6.221836,"Deborah Christie Tan","Sealed with a Kiss","Alfie Bryne Road, Clontarf Road, Dublin 3",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/deborah-christie-tan","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/61506d06fc06bb1eb4f6a284_%E2%80%98Sealed%20with%20a%20Kiss!%E2%80%99%20by%20Deborah%20Christie%20Tan%20(2).jpg","2021",0
"12","Dublin City Council",53.359588,-6.23221,"Shane Noonan","Good Doggo","Alfie Bryne Road, Clontarf, Dublin 3.",2020,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/shane-noonan","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f9ed61845546d30adeede7f_Good%20Doggo%20by%20Shane%20Noonan%20-%20DCC%20-%202020%20(4).jpg","2020",0
"13","Dublin City Council",53.380081,-6.177502,"Clare Keane","When in Doubt, Pedal it Out!","All Saints Road, Howth Road, Raheny Village, Dublin 5.",2020,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/clare-keane","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f99a6c8b6a732497953b9b7_When%20in%20Doubt%2C%20Pedal%20it%20Out!%20By%20Clare%20Keane%20-%20DCC%20-%202020%20(4).jpg","2020",0
"14","Dublin City Council",53.345632,-6.272374,"Hugh Madden","The Viking Holiday","Inns Quay, Dublin",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/hugh-madden-3","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e27181e708282b0e6b0763b_Viking%20Holiday%20by%20Hugh%20Madden%20-%202015%20-%201.jpg","2015 - 2020",1
"15","Dublin City Council",53.345632,-6.272374,"Malgorzata Zoladziejewska","Herbert G.Simms","Inns Quay, Dublin 1.",2020,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/malgorzata-zoladziejewska","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f9ac630c7a033cf3b78a28d_Herbert%20G.%20Simms%20by%20Malgorzata%20Zoladziejewska%20(56).jpg","2020",0
"16","Dublin City Council",53.34588,-6.275743,"James O'Brien","Multiculturalism","Arran Quay, Dublin 1,",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/james-obrien","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2f12f86e2428fe9d8ca15e_Multiculturalism%20by%20%20James%20O%20Brien%202015%20-%201.jpg","2015 - 2020",1
"17","Dublin City Council",53.34588,-6.275743,"Robert Bowler","The Daughter of Lir","Arran Quay, Dublin 1,",2020,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/robert-bowler-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f9db54645546d4562ec7c0d_The%20Daughter%20of%20Lir%20by%20Robert%20Bowler%20-%20DCC%20-%202020%20(1).jpg","2020",0
"18","Dublin City Council",53.346131,-6.268032,"Colin Mc Ginley","Dublin Characters","Capel Street, Dublin 1.",2016,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/colin-mc-ginley","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2d960512d9353fe5ef40f8_Dublin%20Characters%20by%20Colin%20Mc%20Ginley%20(3)-2.jpg","2016",0
"19","Dublin City Council",53.346741,-6.272735,"Steven Nour","Fade to Grey","Greek Street/Chancery Place, Dublin 1",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/steven-nour","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5fc77edd9d03f76a1b221527_Fade%20to%20Grey%20by%20Steven%20Nour%20-%20DCC%20-%202015.jpg","2015 - 2021",1
"20","Dublin City Council",53.3181072,-6.2335547,"Cathy Butler","Common Birds","Anglers Rest, Donnybrook, Dublin 4",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/cathy-butler","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e289a0b2ed18d79f6acc842_Common%20Birds%20of%20the%20River%20Dodder%20by%20Cathy%20Butler%202.jpg","2019",0
"21","Dublin City Council",53.346747,-6.2727,"Colm O'Connor","U & I Together in Dublin","Greek Street/Chancery Place, Dublin 1",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/colm-oconnor","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/616dae2e6a959c118b7ef4d0_U%20%26%20I%20Together%20in%20Dublin%20by%20Colm%20O%27Connor%20(9).jpg","2021",0
"22","Dublin City Council",53.383186,-6.204927,"Kyla Tomlinson","""Weeeeeeeeee!!!!","Artane Roundabout, Artane, Dublin 5.",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/kyla-tomlinson","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2f1f6d842db30542de59a5_Weeee%20by%20Kyla%20Tomlinson%20(4).jpg","2018",0
"23","Dublin City Council",53.348027,-6.274717,"Hugh Madden","Pints & Poets","Baggot Street Upper, Dublin 4.",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/hugh-madden","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5fb41931471404a5445ac203_Pints%20%26%20Poets%20by%20Hugh%20Madden%20Web.jpg","2015",0
"24","Dublin City Council",53.337592,-6.251352,"Garreth Joyce","Bacon","Baggot Street, Dublin 2",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/garreth-joyce","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e24b5672e290c70d8d4665a_Bacon%20by%20Garreth%20Joyce%20.jpg","2018",0
